studentId,class
1,5K
2,3F
3,10B
4,7U
5,5A
6,6P
7,11M
8,12M
9,9M
10,6O
11,10W
12,2Y
13,12L
14,3R
15,12Z
16,7F
17,3V
18,1X
19,1B
20,12Z
21,9U
22,3B
23,3I
24,12V
25,5S
26,9V
27,7M
28,6O
29,11K
30,4F
31,3B
32,9A
33,12N
34,6Q
35,7V
36,11T
37,3C
38,7N
39,8F
40,6Z
41,3A
42,5P
43,4G
44,6A
45,2E
46,10M
47,1W
48,11G
49,11U
50,5K
51,12O
52,5U
53,5T
54,12F
55,9D
56,5P
57,3T
58,11C
59,9I
60,8G
61,7A
62,7I
63,1R
64,4H
65,9B
66,7T
67,8K
68,9S
69,3L
70,5Z
71,10P
72,7E
73,1W
74,4W
75,11R
76,5V
77,9J
78,8G
79,9X
80,12J
81,9H
82,6Y
83,5J
84,2R
85,3B
86,2G
87,7A
88,11B
89,2X
90,9Q
91,7N
92,2R
93,3C
94,8G
95,4F
96,9Z
97,10F
98,12V
99,6P
100,2R
101,7R
102,3R
103,10D
104,10A
105,7Q
106,8K
107,6N
108,12E
109,2J
110,5C
111,2M
112,2Q
113,11M
114,6A
115,10A
116,11K
117,7D
118,11Z
119,3L
120,5T
121,7H
122,2K
123,6I
124,12S
125,12S
126,7I
127,4W
128,10V
129,4I
130,2Z
131,8W
132,6H
133,10C
134,9E
135,2L
136,2W
137,12M
138,2A
139,7S
140,11X
141,7Q
142,10L
143,9N
144,9C
145,8U
146,12M
147,12E
148,9K
149,4J
150,6P
151,10D
152,7L
153,1F
154,6Z
155,6E
156,4B
157,11A
158,1R
159,7W
160,5T
161,4N
162,2K
163,5A
164,11H
165,4I
166,6Q
167,6G
168,9C
169,9R
170,8L
171,6W
172,3L
173,2R
174,8V
175,4M
176,2U
177,7J
178,9K
179,3B
180,12J
181,8O
182,11E
183,7F
184,1P
185,9Y
186,1W
187,1I
188,10Y
189,10J
190,7H
191,10F
192,1T
193,9H
194,12E
195,12Q
196,12W
197,10U
198,7D
199,3I
200,6C
201,5F
202,3E
203,7J
204,11D
205,7R
206,1I
207,3D
208,10O
